0	0	0	45.1	35.2	0.357158	0.225	0.0181764	0.279345	0.344179	0.2083	0.0998769	0.0653108	9.87623	0.781025	0.0306495	0.523808	0.00161562	0.0612559	0.058536	0.0521545	0.0370624	0.0245525
0	0	1	19.625	35.125	0.162936	0.375	0.0133645	0.270555	0.333653	0.189873	0.116587	0.0787871	10.6224	2.36841	0.0263724	1.01704	0.000317491	0.161257	0.138378	0.119349	0.0886266	0.0613138
0	0	2	15.15	35.15	0.151784	0.3	0.0132604	0.217181	0.350559	0.24325	0.101489	0.0809574	7.02691	1.47564	0.0231369	0.6	0.000300031	0.14551	0.148959	0.163992	0.0872727	0.0728265
0	0	3	15.4	34.125	0.152112	0.525	0.0132506	0.26899	0.326445	0.198527	0.121519	0.0802927	7.36817	3.32556	0.0282057	0.974359	0.000371222	0.177051	0.194433	0.115997	0.102403	0.130614
0	0	4	11.05	33.725	0.141641	0.475	0.013231	0.261966	0.297352	0.191999	0.136221	0.099641	5.72254	2.50986	0.0224132	1.34141	0.000269051	0.17227	0.209978	0.134199	0.0915522	0.110292
0	1	0	1.2	16.95	0.0322341	0.425	0.0125618	0.01875	0.0208333	0.0810498	0.035092	0.103669	2.46171	21.1139	0.0402235	0.862772	0.000287653	0.0863767	0.073951	0.15826	0.102218	0.195051
0	1	1	15.05	35.4	0.148399	0.1	0.0131439	0.229463	0.323559	0.233629	0.115895	0.0938795	8.27632	2.39583	0.0236507	0.374166	0.000345662	0.179512	0.161135	0.134867	0.109516	0.0983632
0	1	2	15.7	35.15	0.154261	0.075	0.0131591	0.218606	0.354973	0.226477	0.133507	0.0614283	7.0647	1.52561	0.0231005	0.263391	0.000293164	0.144984	0.123472	0.1409	0.100021	0.0479169
0	1	3	12.65	34.025	0.153645	0.65	0.0131958	0.240459	0.323896	0.215703	0.143349	0.0632652	6.87223	2.01851	0.0245353	1.10793	0.000275904	0.155165	0.133933	0.120295	0.110054	0.0612186
0	1	4	11.35	33.875	0.149423	0.35	0.0131685	0.223724	0.328681	0.227341	0.136246	0.0837266	8.13803	3.01817	0.0289883	0.792149	0.00027694	0.159022	0.172988	0.161982	0.117767	0.103267
0	2	0	10.95	34.625	0.113272	0.5	0.0133582	0.107762	0.185798	0.212887	0.195665	0.2304	7.24897	8.15073	0.034468	0.774597	0.000848776	0.134691	0.150176	0.159416	0.172061	0.190228
0	2	1	17.55	36.275	0.147418	0.35	0.0130883	0.263924	0.287062	0.212201	0.130398	0.0976693	10.433	2.20213	0.0220356	1.06184	0.000264327	0.164897	0.161179	0.123789	0.0972316	0.0864063
0	2	2	13.325	34.9	0.153541	0.35	0.0132587	0.22641	0.305292	0.215861	0.152722	0.0923083	6.55129	2.44745	0.0253788	0.759934	0.000308087	0.150697	0.156163	0.131695	0.0905629	0.0909768
0	2	3	13.275	33.825	0.155012	0.4	0.0131592	0.236202	0.317525	0.248154	0.123842	0.0681754	4.26021	2.6729	0.026416	0.734847	0.000318628	0.120035	0.147947	0.12439	0.100117	0.0513485
0	2	4	12.325	32.975	0.149406	0.2	0.0131444	0.212378	0.348603	0.238086	0.133278	0.0672933	6.23453	3.29763	0.0217176	0.4	0.000250187	0.145321	0.16798	0.137617	0.112449	0.0596165
4	0	0	1.325	12.9	0.115574	0.65	0.0131823	0.412656	0.12204	0.0611372	0.0229167	0.00625	1.57142	10.4518	0.096677	1.25599	0.000244338	0.361301	0.172875	0.128296	0.0811966	0.0390312
4	0	1	0.35	4.425	0.0229528	0.6	0.0130904	0.0640351	0.0679825	0.0304825	0.00833333	0.00416667	0.93675	9.68217	0.0501817	1.2	0.000299964	0.191694	0.203177	0.117147	0.0520416	0.0260208
4	0	2	0.225	3.425	0.0289989	0.25	0.0132053	0.0658333	0.0633333	0.0375	0.00833333	0	0.523808	7.57261	0.0644505	0.48734	0.000302326	0.162016	0.161727	0.126313	0.0520416	0
4	0	3	0.325	5.125	0.033586	0.35	0.0132259	0.0952381	0.078869	0.0279762	0.0166667	0	0.647592	9.62078	0.0630543	1.06184	0.000272639	0.208197	0.169087	0.10142	0.104083	0
4	0	4	0.4	4.675	0.0275919	0.3	0.0131655	0.0623775	0.0540441	0.0394118	0.0358333	0.00833333	1.11355	9.4244	0.0559968	0.748331	0.000279501	0.157566	0.153993	0.130821	0.145562	0.0520416
4	1	0	0.175	3.8	0.0265543	0.45	0.0130819	0.0445833	0.0445833	0.0695833	0.01125	0.005	0.379967	8.47113	0.0596981	0.973396	0.000253406	0.131307	0.108102	0.183934	0.0493552	0.031225
4	1	1	0.625	5.625	0.0385229	0.4	0.0131803	0.0752323	0.087863	0.0452381	0.0333333	0.00833333	1.49478	9.98921	0.0679836	0.888819	0.000271237	0.175904	0.196235	0.111142	0.124722	0.0520416
4	1	2	0.425	4.55	0.0371797	0.3	0.0131805	0.0817029	0.0594203	0.0640399	0.019837	0	1.06975	8.55555	0.0698447	0.640312	0.00024259	0.191291	0.145497	0.161544	0.0684724	0
4	1	3	0.4	6.85	0.0457983	0.45	0.0131596	0.11131	0.093006	0.0456845	0.0354167	0.0145833	0.663325	10.6549	0.0722671	0.835165	0.000325815	0.196493	0.199772	0.1171	0.110062	0.0642464
4	1	4	0.7	7.2	0.0438586	0.4	0.0131334	0.119867	0.0742708	0.0781534	0.0227083	0.005	2.22711	11.2187	0.068614	0.768115	0.000285659	0.232947	0.176309	0.153762	0.0779954	0.031225
4	2	0	0.45	4.075	0.0329875	0.35	0.0130786	0.0745294	0.0896221	0.0243354	0.0115132	0	1.11692	8.3797	0.0667323	0.759934	0.000302124	0.174233	0.219212	0.0794657	0.0503784	0
4	2	1	0.3	5.375	0.0399301	0.325	0.0131406	0.0954167	0.0841667	0.04875	0.0216667	0	0.556776	9.41724	0.0710473	0.685109	0.000290899	0.229583	0.236054	0.142565	0.0780135	0
4	2	2	0.275	4.125	0.0307362	0.25	0.0131835	0.0770833	0.0416667	0.0604167	0.0208333	0	0.59108	8.32222	0.0626973	0.433013	0.000306745	0.181034	0.104167	0.129418	0.073951	0
4	2	3	0.875	6.275	0.0510795	0.25	0.013111	0.126957	0.0831944	0.0712621	0.018587	0	2.4514	9.84121	0.0799897	0.580948	0.000307695	0.224299	0.177263	0.131311	0.0646065	0
4	2	4	0.25	4.075	0.0259656	0.25	0.013201	0.0582051	0.0576282	0.0425	0.00833333	0	0.622495	8.88928	0.057659	0.698212	0.000303077	0.197607	0.157267	0.139042	0.0520416	0
5	0	0	3.8	17.175	0.138055	0.575	0.0133867	0.547725	0.135991	0.056176	0.0248512	0.00277778	4.38862	10.1215	0.0827273	1.32075	0.000346757	0.326115	0.132255	0.117272	0.0618574	0.0173472
5	0	1	0.4	5.3	0.0371594	0.35	0.0132229	0.0854167	0.0972756	0.0342949	0.0205128	0.0125	0.830662	9.27955	0.0647405	0.759934	0.000321048	0.200249	0.193707	0.111006	0.0756736	0.0575845
5	0	2	0.75	8.425	0.0579669	0.55	0.0131729	0.159712	0.111607	0.0636806	0.0229861	0.0138889	1.25996	11.1263	0.0777408	1.22372	0.00027235	0.249569	0.201498	0.144195	0.0690013	0.0618017
5	0	3	0.325	4.625	0.0371724	0.5	0.0131961	0.086526	0.0878247	0.0341991	0.0141775	0.00227273	0.685109	8.72264	0.0704648	0.974679	0.000269119	0.188474	0.188096	0.124765	0.0573898	0.0141932
